Wage (€),Value (€),Name,Age,Nationality,Overall,Potential,Club
4000,1400000,E. Calaió,35,Italy,72,72,Parma
8000,2900000,A. Mierzejewski,30,Poland,72,72,Sydney FC
26000,3100000,M. Vran_i_,28,Bosnia Herzegovina,72,72,Norwich City
16000,1800000,J. Callsen-Bracker,32,Germany,72,72,FC Augsburg
12000,2400000,Sanaldo Caiado,29,Brazil,72,72,Avaí Futebol Clube
7000,3100000,Sin Jin Ho,28,Korea Republic,72,72,Sangju Sangmu FC
15000,4900000,P. Retsos,18,Greece,72,85,Bayer 04 Leverkusen
29000,3400000,G. Thorne,24,England,72,76,Derby County
0,0,A. Fiola,27,Hungary,72,72,
13000,2300000,M. Viloti_,30,Serbia,72,72,Grasshopper Club Zürich
25000,2600000,M. Rybus,27,Poland,72,72,Lokomotiv Moscow
7000,3200000,C. Sapong,28,United States,72,72,Philadelphia Union
13000,3400000,B. Mechele,24,Belgium,72,76,Club Brugge KV
8000,3700000,Óscar Plano,26,Spain,72,73,Real Valladolid
26000,3100000,A. Søderlund,29,Norway,72,72,AS Saint-Étienne
12000,4200000,Hervías,24,Spain,72,77,Real Valladolid
18000,3500000,S. Ingason,23,Iceland,72,77,FC Rostov
21000,1300000,Pombaxinho,33,Brazil,72,72,Clube Atlético Mineiro
9000,2800000,Nuno Padrenda,25,Brazil,72,72,Vitória
4000,725000,V. Bernárdez,35,Honduras,72,72,San Jose Earthquakes
12000,2600000,Fábio,26,Brazil,72,72,Middlesbrough
23000,3700000,J. Bryan,23,England,72,79,Bristol City
30000,3000000,L. Ceppitelli,27,Italy,72,74,Cagliari
3000,425000,Ricardo Costa,36,Portugal,72,72,Tondela
14000,1800000,N. Domingo,32,Argentina,72,72,Independiente
11000,2500000,B. Hämäläinen,28,Denmark,72,72,SV Zulte-Waregem
32000,3100000,L. Cavanda,26,Belgium,72,74,Standard de Liège
3000,3000000,L. Cinterio,29,Chile,72,72,Deportes Iquique
9000,3400000,V. Seldero,25,Chile,72,72,Universidad de Chile
12000,3000000,P. Mouche,29,Argentina,72,72,Banfield
34000,3000000,T. Hemed,30,Israel,72,72,Brighton & Hove Albion
7000,3000000,J. Hyka,29,Albania,72,72,San Jose Earthquakes
15000,950000,A. Mangane,34,Senegal,72,72,RC Strasbourg
36000,3200000,B. Bannan,27,Scotland,72,72,Sheffield Wednesday
18000,3700000,I. Hajrovi_,25,Bosnia Herzegovina,72,73,SV Werder Bremen
23000,3800000,L. Bacuna,25,Curacao,72,75,Reading
6000,3600000,A. Wooten,27,United States,72,73,SV Sandhausen
13000,3900000,A. Solari,25,Argentina,72,75,Racing Club de Avellaneda
4000,3400000,J. Hernandero,25,Chile,72,72,CD Antofagasta
14000,2700000,S. Allagui,31,Tunisia,72,72,FC St. Pauli
23000,2100000,A. Tettey,31,Norway,72,72,Norwich City
5000,3700000,C. Roldan,22,United States,72,79,Seattle Sounders FC
16000,5000000,A. Barák,22,Czech Republic,72,82,Udinese
6000,2900000,F. Lemoine,30,France,72,72,FC Lorient
22000,3300000,G. Hanley,25,Scotland,72,75,Norwich City
24000,2400000,Ailtio Coelho,29,Brazil,72,72,Fluminense Football Club
14000,1800000,A. Tziolis,32,Greece,72,72,Al Fayha
27000,4600000,B. Mensah,22,Ghana,72,80,Kasimpa_a SK
7000,1900000,M. Higashiguchi,31,Japan,72,72,Gamba Osaka
5000,4100000,Tiago Silva,24,Portugal,72,76,CD Feirense
13000,2400000,M. Güven,29,Turkey,72,72,Osmanl_spor
35000,2900000,L. Advíncula,27,Peru,72,73,Lobos de la BUAP
12000,2400000,Denaldo Carneiro,29,Brazil,72,72,Associação Chapecoense de Futebol
5000,2500000,A. Hansen,27,Norway,72,74,Rosenborg BK
20000,3800000,I. Cofie,25,Ghana,72,75,Genoa
21000,2400000,S. Fürstner,29,Germany,72,72,1. FC Union Berlin
4000,2500000,L. Ariaudo,28,Italy,72,72,Frosinone
11000,2900000,F. Sánchez,27,Argentina,72,73,Estudiantes de La Plata
4000,2000000,C. Mestierra,33,Chile,72,72,CD Universidad de Concepción
14000,4300000,J. Gallardo,22,Mexico,72,78,U.N.A.M.
10000,3200000,Camilo,28,Brazil,72,72,Querétaro
15000,4400000,W. Bou,23,Argentina,72,79,Boca Juniors
6000,1800000,Luso,32,Spain,72,72,SD Huesca
11000,1200000,N. Frey,33,France,72,72,Chievo Verona
4000,3800000,L. Lollo,26,Italy,72,75,Empoli
8000,1800000,Zapater,32,Spain,72,72,Real Zaragoza
4000,2100000,Lee Ho Seung,27,Korea Republic,72,72,Jeonnam Dragons
8000,550000,I. Damonte,35,Argentina,71,71,Estudiantes de La Plata
13000,3700000,A. Dioussé,19,Senegal,71,81,AS Saint-Étienne
8000,725000,Amaya,34,Spain,71,71,Rayo Vallecano
4000,1200000,C. Grossmüller,34,Uruguay,71,71,Sandefjord Fotball
11000,1800000,E. Echiéjilé,29,Nigeria,71,71,Medicana Sivasspor
5000,2200000,C. Râp_,27,Romania,71,72,Pogo_ Szczecin
27000,3600000,S. March,22,England,71,80,Brighton & Hove Albion
3000,2300000,J. Cabezas,26,Colombia,71,72,Houston Dynamo
9000,2000000,Jony Reitosa,25,Brazil,71,71,Atlético Clube Goianiense
16000,950000,P. Niemeyer,33,Germany,71,71,SV Darmstadt 98
9000,1400000,J. Lotiès,32,France,71,71,KAS Eupen
3000,2000000,R. Gagliolo,27,Italy,71,71,Parma
5000,2400000,Sergio Herrera,24,Spain,71,77,CA Osasuna
9000,2700000,J. Filipovi_,24,Croatia,71,76,Sporting Lokeren
6000,3000000,A. González,24,Venezuela,71,74,SD Huesca
8000,2200000,Isma López,27,Spain,71,72,Real Sporting de Gijón
2000,2200000,F. Torijano,28,Colombia,71,72,Deportes Tolima
14000,1600000,L. Chambers,31,England,71,71,Ipswich Town
19000,1800000,Barbosaldinho,29,Brazil,71,71,São Paulo Futebol Clube
11000,3200000,R. Pierre-Gabriel,19,France,71,81,AS Saint-Étienne
17000,2300000,A. Caracciolo,27,Italy,71,73,Hellas Verona
5000,4200000,Han Chan Hee,20,Korea Republic,71,83,Jeonnam Dragons
16000,1200000,R. van der Vaart,34,Netherlands,71,71,FC Midtjylland
12000,2300000,K. Boutaïb,30,Morocco,71,71,Evkur Yeni Malatyaspor
16000,3300000,Lucas Evangelista,22,Brazil,71,78,Estoril Praia
16000,1400000,J. Medina,33,Mexico,71,71,Lobos de la BUAP
29000,1600000,U. Hünemeier,31,Germany,71,71,Brighton & Hove Albion
18000,3200000,G. Jung,22,Germany,71,80,Hamburger SV
8000,1600000,R. Koolwijk,31,Netherlands,71,71,Excelsior
19000,2800000,A. Sobiech,27,Poland,71,72,SV Darmstadt 98
10000,3000000,Jordi Calavera,21,Spain,71,79,Real Sporting de Gijón
15000,1600000,Molinero,31,Spain,71,71,Getafe CF
6000,3600000,Lucas Torró,22,Spain,71,82,CA Osasuna
10000,325000,O. Deschacht,36,Belgium,71,71,RSC Anderlecht
13000,2500000,Danilo,27,Belgium,71,71,Antalyaspor
5000,2400000,S. Lundevall,28,Sweden,71,71,IF Elfsborg
14000,2100000,Natinho Mestres,25,Brazil,71,71,Coritiba Foot Ball Club
8000,2600000,Alberto Benito,25,Spain,71,76,Real Zaragoza
1000,1300000,T. Masilela,32,South Africa,71,71,Kaizer Chiefs
1000,2400000,E. Ben Nabouhane,28,Comoros,71,71,Olympiakos CFP
7000,2400000,Ramón Folch,27,Spain,71,74,Real Oviedo
3000,2500000,T. Kupisz,27,Poland,71,71,Cesena
2000,3000000,S. Montoya,25,Colombia,71,74,Deportes Tolima
8000,2500000,M. Makuszewski,27,Poland,71,71,Lech Pozna_
23000,1300000,A. Hutton,32,Scotland,71,71,Aston Villa
4000,3200000,S. Ghoddos,23,Iran,71,76,Östersunds FK
14000,3200000,P. Gerkens,22,Belgium,71,77,RSC Anderlecht
0,0,S. Filip,23,Romania,71,78,
4000,1200000,Y. Sanpian,33,Chile,71,71,CD O'Higgins
12000,1800000,Serginho,30,Brazil,71,71,Akhisar Belediyespor
16000,2200000,K. Constant,30,Guinea,71,71,FC Sion
5000,1800000,Isaías,30,Spain,71,71,Adelaide United
6000,2400000,J. Velázquez,26,Venezuela,71,73,Tiburones Rojos de Veracruz
7000,2200000,Quini,27,Spain,71,72,Granada CF
20000,3300000,I. Fossum,20,Norway,71,78,Hannover 96
12000,2400000,E. Rolland,28,France,71,71,KV Kortrijk
0,0,R. Guzmics,30,Hungary,71,71,
8000,2400000,C. Ripley,24,England,71,78,Burton Albion
30000,4300000,A. Morelos,21,Colombia,71,83,Rangers
18000,3100000,H. Nielsen,23,Norway,71,75,Fortuna Düsseldorf
7000,2900000,C. Ramirez,26,United States,71,73,Minnesota Thunder
16000,2400000,D. Cabrera,27,Mexico,71,71,U.N.A.M.
6000,3100000,A. Koura,24,France,71,75,AS Nancy Lorraine
26000,3200000,A. Mendy,23,France,71,76,Girondins de Bordeaux
2000,1200000,G. Parreses,33,Chile,71,71,Deportes Iquique
13000,2800000,Gerard Valentín,23,Spain,71,78,RC Deportivo de La Coruña
10000,2100000,Nildo Petrolina,31,Brazil,71,71,CD Aves
3000,160000,A. Lucarelli,39,Italy,71,71,Parma
29000,3000000,J. Paterson,25,England,71,74,Bristol City
14000,3100000,R. Leipertz,24,Germany,71,75,FC Ingolstadt 04
20000,2100000,Sandelas Júnior,25,Brazil,71,71,Clube Atlético Mineiro
17000,1900000,I. Bangoura,32,Guinea,71,71,Al Raed
9000,2400000,C. Sheridan,28,Republic of Ireland,71,71,Jagiellonia Bia_ystok
21000,3200000,S. Skrzybski,24,Germany,71,76,1. FC Union Berlin
11000,2500000,Diego Oliveira,27,Brazil,71,71,Kashiwa Reysol
9000,2200000,E. Andrada,26,Argentina,71,76,Club Atlético Lanús
9000,3200000,S. Kerk,23,Germany,71,77,1. FC Nürnberg
8000,3600000,Pedro Nuno,22,Portugal,71,80,Tondela
19000,3600000,K. Bonifazi,21,Italy,71,82,Torino
35000,2200000,William,30,Brazil,71,71,Club América
2000,3000000,D. Rosero Valencia,23,Colombia,71,79,Asociacion Deportivo Cali
16000,1400000,C. Janker,32,Germany,71,71,FC Augsburg
15000,725000,S. von Bergen,34,Switzerland,71,71,BSC Young Boys
4000,2900000,F. Macheda,25,Italy,71,73,Novara
31000,1200000,S. Sidwell,34,England,71,71,Brighton & Hove Albion
17000,3300000,Y. Chibsah,24,Ghana,71,78,Benevento Calcio
7000,1800000,T. Schütz,29,Germany,71,71,DSC Arminia Bielefeld
3000,1000000,S. Rizzato,35,Italy,71,71,Avellino
6000,3500000,Vadillo,22,Spain,71,79,SD Huesca
14000,3200000,Trezeguet,22,Egypt,71,77,Kasimpa_a SK
6000,3400000,Kim Min Jae,20,Korea Republic,71,81,Jeonbuk Hyundai Motors
16000,2400000,D. Opare,26,Ghana,71,74,FC Augsburg
23000,2900000,A. Gogia,25,Germany,71,73,1. FC Union Berlin
13000,2800000,E. Bekdemir,25,Turkey,71,72,Osmanl_spor
6000,2800000,A. Gyurcsó,26,Hungary,71,72,Pogo_ Szczecin
23000,2600000,A. Maruši_,24,Montenegro,71,75,Lazio
3000,900000,M. Miyin,33,Chile,71,71,Deportes Iquique
4000,270000,A. Cole,36,England,71,71,LA Galaxy
11000,2300000,Pedro Júnior,30,Brazil,71,71,Kashima Antlers
11000,2500000,Ryan Mendes,27,Cape Verde,71,71,Kayserispor
8000,2000000,Babanco,31,Cape Verde,71,71,CD Feirense
40000,1900000,D. Nugent,32,England,71,71,Derby County
7000,3200000,D. Jevti_,24,Switzerland,71,77,Lech Pozna_
5000,160000,N. Fernández,38,Argentina,71,71,Unión de Santa Fe
20000,2500000,G. Marilungo,27,Italy,71,71,La Spezia
6000,2600000,B. Sarr,26,Senegal,71,76,Molde FK
20000,3200000,A. Sagal,24,Chile,71,76,Pachuca
35000,2200000,N. Cardozo,30,Argentina,71,71,Monterrey
11000,325000,C. Puggioni,36,Italy,71,71,Sampdoria
6000,1400000,A. Machado,32,Panama,71,71,Houston Dynamo
15000,1800000,Gégé,29,Cape Verde,71,71,Al Fayha
16000,2400000,J. Tavares,28,Cape Verde,71,71,Dijon FCO
14000,3300000,E. Fernández,22,France,71,78,Deportivo Alavés
7000,1800000,Flavio Paixão,32,Portugal,71,71,Lechia Gda_sk
18000,3100000,M. Luongo,24,Australia,71,76,Queens Park Rangers
32000,3000000,I. Hayden,22,England,71,79,Newcastle United
12000,1800000,Luis Couprins,29,Brazil,71,71,Associação Chapecoense de Futebol
33000,1800000,D. Guerrero,29,Mexico,71,71,Puebla
15000,2800000,C. Auzqui,26,Argentina,71,72,River Plate
7000,2600000,R. Strieder,24,Germany,71,75,FC Utrecht
4000,2300000,Raphael Martinho,29,Brazil,71,71,Bari
18000,900000,Heitor Gesse,33,Brazil,71,71,São Paulo Futebol Clube
14000,2300000,A. Özek,29,Turkey,71,71,Gençlerbirli_i SK
13000,3000000,J. Marié,25,France,71,75,Dijon FCO
51000,3800000,B. Celina,20,Kosovo,71,81,Ipswich Town
31000,4600000,L. Cook,20,England,71,84,Bournemouth
5000,2800000,R. Matarrita,22,Costa Rica,71,78,New York City Football Club
4000,1800000,L. Vitale,29,Italy,71,71,Salernitana
1000,2200000,D. Lévêque,27,France,71,72,PAOK Thessaloniki
6000,3100000,K. Rowe,25,United States,71,75,New England Revolution
10000,2300000,Y. Kashiwagi,29,Japan,71,71,Urawa Red Diamonds
3000,900000,M. Hascien,33,Chile,71,71,Everton de Viña del Mar
14000,3200000,I. Mo_ini_,24,Croatia,71,77,SK Rapid Wien
8000,1900000,Víctor Casadesús,32,Spain,71,71,CD Tenerife
15000,1800000,J. Grimm,30,France,71,71,RC Strasbourg
7000,2200000,T. Moulin,27,France,71,72,Legia Warszawa
18000,3200000,B. Osborn,22,England,71,77,Nottingham Forest
22000,2100000,Vieiraldo Junior,25,Brazil,71,71,Fluminense Football Club
21000,900000,Alam Lindeiro,33,Brazil,71,71,Clube Atlético Mineiro
1000,1500000,P. Glykos,30,Greece,71,71,PAOK Thessaloniki
8000,1800000,T. Costa,32,Argentina,71,71,Bahía Blanca
8000,725000,A. Rochat,34,Switzerland,71,71,FC Lausanne-Sports
5000,2400000,Lins,29,Brazil,71,71,Ventforet Kofu
12000,900000,Enzo Merques,33,Brazil,71,71,Botafogo de Futebol e Regatas
11000,2700000,P. Ziereis,24,Germany,71,76,FC St. Pauli
6000,2500000,J. Berthomier,27,France,71,71,Stade Brestois 29
20000,2000000,Marlion Simões,25,Brazil,71,71,Sociedade Esportiva Palmeiras
9000,2400000,Pedro Tiba,28,Portugal,71,71,Grupo Desportivo de Chaves
10000,3200000,Juan Muñoz,21,Spain,71,76,UD Almería
6000,3100000,J. Agudelo,24,United States,71,75,New England Revolution
12000,1800000,M. Torsiglieri,29,Argentina,71,71,Racing Club de Avellaneda
6000,1200000,P. Kieszek,33,Poland,71,71,Córdoba CF
3000,900000,M. Parediso,33,Chile,71,71,CD Antofagasta
26000,3100000,J. McEachran,24,England,71,76,Brentford
21000,3200000,K. Roofe,24,England,71,76,Leeds United
9000,2700000,L. Cabrera,25,Uruguay,71,76,Crotone
0,0,J. Campos,29,Bolivia,71,71,
7000,2500000,D. Royer,27,Austria,71,71,New York Red Bulls
5000,2600000,K. Lawrence,24,Jamaica,71,76,New York Red Bulls
27000,3100000,M. Caktaš,25,Croatia,71,76,Rubin Kazan
18000,2800000,G. Sunu,26,France,71,72,Angers SCO
33000,2400000,D. Williams,28,United States,71,71,Huddersfield Town
9000,1800000,R. Leeuwin,29,Netherlands,71,71,FC Utrecht
7000,2200000,R. Espinoza,30,Honduras,71,71,Sporting Kansas City
7000,2800000,Tyronne,26,Spain,71,72,CD Tenerife
6000,3000000,João Pedro,24,Portugal,71,75,LA Galaxy
1000,1400000,A. Rivas,32,Colombia,71,71,Deportes Tolima
23000,3100000,U. Bech,24,Denmark,71,75,Hannover 96
7000,1900000,Lionn,28,Brazil,71,71,Rio Ave FC
13000,2200000,J. Larsson,27,Sweden,71,72,Brøndby IF
27000,2600000,J. Schlupp,24,Ghana,71,76,Crystal Palace
6000,3700000,André Leal,21,Portugal,71,80,FC Paços de Ferreira
13000,1900000,R. Shotton,28,England,71,71,Middlesbrough
15000,1800000,F. Bellugou,30,France,71,71,ES Troyes AC
2000,1400000,S. Motta,33,Colombia,71,71,La Equidad
22000,2400000,M. Coda,28,Italy,71,71,Benevento Calcio
6000,1600000,W. Mesloub,31,Algeria,71,71,FC Lorient
10000,3100000,R. Schoofs,23,Belgium,71,76,KV Mechelen
15000,1800000,V. Afonin,29,Uzbekistan,71,71,FC Anzhi Makhachkala
23000,3100000,E. Nabiullin,22,Russia,71,80,Rubin Kazan
4000,5000000,Vitinho,19,Brazil,71,86,FC Barcelona B
4000,725000,V. Di Cesare,34,Italy,71,71,Parma
17000,3100000,I. Sylla,23,Guinea,71,75,Toulouse FC
5000,3700000,S. Adegbenro,21,Nigeria,71,80,Rosenborg BK
8000,1800000,Montoro,29,Spain,71,71,Granada CF
12000,2800000,Cyriac,26,Ivory Coast,71,72,Medicana Sivasspor
6000,1600000,D. Chará,31,Colombia,71,71,Portland Timbers
32000,3600000,A. Grassi,22,Italy,71,80,Ferrara (SPAL)
13000,2300000,Tiago Pombeira,29,Brazil,71,71,Sport Club do Recife
4000,1800000,R. Fardenal,29,Chile,71,71,CD Universidad de Concepción
21000,2400000,R. Hennings,29,Germany,71,71,Fortuna Düsseldorf
17000,160000,J. Speroni,38,Argentina,71,71,Crystal Palace
12000,2100000,Y. Bounou,26,Morocco,71,75,Girona CF
14000,3300000,T. Pledl,23,Germany,71,78,FC Ingolstadt 04
5000,325000,A. Hughes,37,Northern Ireland,71,71,Heart of Midlothian
20000,4100000,J. Bamba,21,France,71,82,AS Saint-Étienne
11000,2200000,I. Dia,30,Senegal,71,71,Evkur Yeni Malatyaspor
6000,725000,C. Ledesma,34,Italy,71,71,FC Lugano
5000,1400000,D. Kuciak,32,Slovakia,71,71,Lechia Gda_sk
26000,2600000,C. Coady,24,England,71,75,Wolverhampton Wanderers
16000,2000000,J. Gol,31,Poland,71,71,Amkar Perm
24000,2700000,E. O'Kane,26,Republic of Ireland,71,72,Leeds United
20000,3600000,B. McKay,22,Scotland,71,80,Nottingham Forest
15000,1700000,F. Klein,30,Austria,71,71,FK Austria Wien
6000,1400000,M. Putnocký,32,Slovakia,71,71,Lech Pozna_
4000,1500000,E. Toloza,33,Colombia,71,71,Independiente Medellín
9000,2800000,G. Poblete,24,Argentina,71,78,FC Metz
11000,2200000,M. Coronel,28,Argentina,71,73,Gimnasia y Esgrima La Plata
36000,2500000,P. Dummett,25,Wales,71,75,Newcastle United
16000,1200000,Carlitos,34,Portugal,71,71,FC Sion
7000,3100000,J. Bostock,25,Trinidad & Tobago,71,76,RC Lens
19000,3200000,Y. Sanogo,24,France,71,76,Toulouse FC
7000,3200000,G. Gianniotas,24,Greece,71,76,Real Valladolid
9000,2400000,J. Vaughan,28,England,71,71,Sunderland
17000,2700000,E. Álvarez,19,Mexico,71,77,Club América
26000,2200000,S. Sunzu,28,Zambia,71,72,Arsenal Tula
16000,2500000,T. Schick,27,Austria,71,71,BSC Young Boys
23000,2400000,A. Asiri,25,Saudi Arabia,71,73,Al Ittihad
3000,1800000,J. Sánchez,29,Colombia,71,71,CPD Junior Barranquilla
6000,900000,Carpio,33,Spain,71,71,Cádiz C.F.
19000,2800000,R. Hassan,26,Nigeria,71,72,FC Midtjylland
24000,2400000,F. Hübner,26,Germany,71,73,Hannover 96
15000,2600000,E. Saveljich,26,Montenegro,71,76,Albacete Balompié
3000,1800000,R. Aguileda,29,Chile,71,71,Club de Deportes Temuco
23000,1600000,R. Martin,31,Scotland,71,71,Norwich City
6000,3300000,K. Manneh,22,United States,71,78,Columbus Crew SC
10000,3600000,O. Boscagli,19,France,71,83,Nîmes Olympique
26000,3700000,N. Maupay,20,France,71,80,Brentford
5000,2400000,F. Calvo,24,Costa Rica,71,73,Minnesota Thunder
7000,1800000,Xavi Torres,30,Spain,71,71,Perth Glory
14000,2300000,E. Bourgaud,29,France,71,71,Amiens SC Football
30000,2500000,S. Medina,25,Colombia,71,75,Monterrey
26000,3000000,K. Diks,20,Netherlands,71,79,Feyenoord
3000,2100000,R. Baderos,25,Chile,71,71,CD Antofagasta
13000,2400000,A. Büyük,29,Turkey,71,71,Evkur Yeni Malatyaspor
24000,1800000,Felipe,30,Brazil,71,71,Hannover 96
36000,1800000,D. Jones,32,England,71,71,Sheffield Wednesday
5000,1700000,G. Belaud,30,France,71,71,Stade Brestois 29
6000,725000,Seoane,34,Spain,71,71,CD Lugo
8000,1800000,M. Cahais,29,Argentina,71,71,Bahía Blanca
9000,2800000,Ricardo Lopes,26,Brazil,71,72,Jeonbuk Hyundai Motors
7000,1800000,Iñigo Pérez,29,Spain,71,71,CD Numancia
4000,3000000,M. Rangel,26,Colombia,71,74,Kasimpa_a SK
26000,3100000,S. Hogan,25,England,71,75,Aston Villa
11000,3000000,D. Cools,21,Belgium,71,79,Club Brugge KV
7000,1800000,M. D_browski,30,Poland,71,71,Legia Warszawa
0,0,M. Pintilii,32,Romania,71,71,
12000,3400000,G. Sandoval,21,Mexico,71,78,Santos Laguna
15000,2500000,M. Kami_ski,25,Poland,71,74,VfB Stuttgart
7000,2400000,B. Diawara,29,Senegal,71,71,Adelaide United
8000,2300000,C. Salom,30,Palestine,71,71,Puebla
5000,4700000,Jorge Sáenz,20,Spain,71,85,CD Tenerife
6000,2300000,J. Kie_b,29,Poland,71,71,Korona Kielce
17000,2400000,D. McGoldrick,29,Republic of Ireland,71,71,Ipswich Town
8000,2800000,Y. Mokhtar,25,Morocco,71,72,PEC Zwolle
34000,2200000,N. Leali,24,Italy,71,75,SV Zulte-Waregem
6000,1600000,L. Aveldaño,31,Argentina,71,71,CD Tenerife
5000,2100000,J. Aldunsate,25,Chile,71,71,Universidad Católica
11000,2800000,A. Soto,23,Argentina,71,78,Racing Club de Avellaneda
4000,2200000,M. Basha,30,Albania,71,71,Bari
7000,2200000,D. Cvetinovi_,28,Serbia,71,72,RC Lens
34000,3000000,E. Ba_san,25,Turkey,71,74,Galatasaray SK
3000,1600000,V. Fiorillo,27,Italy,71,71,Pescara
8000,3000000,M. Henriksen,24,Norway,71,74,Hull City
7000,1800000,Germán,30,Spain,71,71,Granada CF
3000,2700000,M. Kone,27,Ivory Coast,71,72,Cesena
16000,2300000,F. Holland,26,Germany,71,72,SV Darmstadt 98
23000,1400000,Paulolettinho,33,Brazil,71,71,Sociedade Esportiva Palmeiras
1000,1400000,S. Malezas,32,Greece,71,71,PAOK Thessaloniki
9000,2900000,L. Fariña,26,Argentina,71,73,CD Aves
19000,2300000,J. Cornejo,26,Chile,71,72,Club León
9000,1100000,C. Luna,35,Argentina,71,71,Club Atlético Tigre
9000,550000,E. Arévalo Ríos,35,Uruguay,71,71,Racing Club de Avellaneda
16000,3200000,B. Zuculini,24,Argentina,71,77,Hellas Verona
10000,2800000,E. Horvath,22,United States,71,80,Club Brugge KV
6000,2200000,M. Stoppelkamp,30,Germany,71,71,MSV Duisburg
14000,2800000,S. Çikalleshi,26,Albania,71,72,Osmanl_spor
6000,160000,A. Va_ins,37,Latvia,71,71,FC Zürich
5000,1400000,A. Papadopoulos,32,Greece,71,71,Brisbane Roar
4000,1800000,J. Arandero,29,Chile,71,71,Everton de Viña del Mar
4000,1300000,T. Taiwo,32,Nigeria,71,71,AFC Eskilstuna
12000,2500000,N. De Pauw,27,Belgium,71,71,SV Zulte-Waregem
7000,2600000,Gaztañaga,26,Spain,71,76,Gimnàstic de Tarragona
7000,3300000,R. Thomas,22,New Zealand,71,78,PEC Zwolle
22000,1800000,Alex das Freitas,29,Brazil,71,71,Sociedade Esportiva Palmeiras
33000,2200000,D. Dessena,30,Italy,71,71,Cagliari
6000,1800000,João Diogo,29,Portugal,71,71,CF Os Belenenses
10000,1600000,M. Bjärsmyr,31,Sweden,71,71,Medicana Sivasspor
19000,1400000,J. Poulsen,33,Denmark,71,71,FC Midtjylland
4000,2100000,A. Salvamanos,25,Chile,71,71,Santiago Wanderers
34000,1600000,V. Fayzulin,31,Russia,71,71,Zenit St. Petersburg
1000,2500000,P. Rodríguez,27,Argentina,71,71,AEK Athens
41000,3300000,J. Mauri,21,Italy,71,78,Milan
8000,2800000,N. Bärkroth,25,Sweden,71,72,Lech Pozna_
14000,2200000,J. Madueña,27,Mexico,71,72,Club Atlas
9000,2000000,I. Seck,27,Senegal,71,71,Waasland-Beveren
19000,4000000,L. Kelly,21,Republic of Ireland,71,82,Reading
4000,160000,S. Bertoli,39,Argentina,71,71,Club Atlético Patronato
33000,1800000,E. Juárez,29,Mexico,71,71,Monterrey
7000,2800000,R. Aït Atmane,24,Algeria,71,77,Real Sporting de Gijón
6000,2400000,M. Barthelmé,28,France,71,71,La Berrichonne de Châteauroux
14000,725000,C. Schulz,34,Germany,71,71,SK Sturm Graz
19000,3000000,Ji Dong Won,26,Korea Republic,71,74,FC Augsburg
13000,3500000,D. Rotariu,21,Romania,71,79,Royal Excel Mouscron
15000,2600000,A. Hoffmann,24,Germany,71,75,Fortuna Düsseldorf
14000,2800000,G. Valsvik,24,Norway,71,78,Eintracht Braunschweig
22000,1900000,C. M'Bengue,28,Senegal,71,71,AS Saint-Étienne
24000,1600000,A. Al Khaibari,31,Saudi Arabia,71,71,Al Hilal
13000,2700000,H. Palacios,24,Colombia,71,77,Club Brugge KV
28000,3000000,William,22,Brazil,71,79,VfL Wolfsburg
12000,1800000,Oier,27,Spain,71,72,Levante UD
3000,1600000,A. Haghighi,29,Iran,71,71,AFC Eskilstuna
8000,3000000,B. Nieuwkoop,21,Netherlands,71,79,Feyenoord
13000,1800000,C. Gönen,29,Turkey,71,72,Málaga CF
7000,2500000,Kim Min Woo,27,Korea Republic,71,71,Suwon Samsung Bluewings
14000,3600000,E. Aguirre,20,Mexico,71,82,Pachuca
6000,2000000,Edu Machado,27,Portugal,71,71,Boavista FC
14000,3300000,Álvaro,22,Spain,71,78,Getafe CF
12000,1500000,M. Knaller,30,Austria,71,71,FC Ingolstadt 04
18000,2600000,H. Dean,25,England,71,75,Birmingham City
8000,2200000,Baena,28,Spain,71,72,Granada CF
11000,1800000,E. Cocali_,29,Bosnia Herzegovina,71,71,KV Mechelen
1000,2400000,E. Insúa,26,Argentina,71,74,Panathinaikos FC
36000,2200000,C. Bryson,30,Scotland,71,71,Cardiff City
6000,2300000,C. Vendoval,29,Chile,71,71,Universidad Católica
7000,850000,Lee Dong Gook,38,Korea Republic,71,71,Jeonbuk Hyundai Motors
26000,1000000,C. Pellerano,35,Argentina,71,71,Tiburones Rojos de Veracruz
7000,1800000,S. Logan,29,England,71,71,Aberdeen
19000,2200000,Z. Korcsmár,28,Hungary,71,73,FC Midtjylland
2000,3100000,D. Hernández,24,Colombia,71,75,Águilas Doradas
6000,3600000,José Arnáiz,22,Spain,71,80,FC Barcelona B
7000,1100000,E. Villa,35,Argentina,71,71,Querétaro
12000,2800000,D. Ndongala,26,DR Congo,71,72,Standard de Liège
26000,3100000,T. Okriashvili,25,Georgia,71,75,FC Krasnodar
54000,3500000,Nathan,21,Brazil,71,79,Amiens SC Football
12000,2700000,M. Jonckheere,27,Belgium,71,72,KV Oostende
15000,1600000,J. Martins Pereira,31,France,71,71,En Avant de Guingamp
22000,1600000,J. van den Berg,31,Netherlands,71,71,Reading
16000,3000000,M. Barragán,25,Mexico,71,74,Necaxa
33000,3200000,C. Fierro,22,Mexico,71,77,Guadalajara
6000,2100000,Mika,26,Portugal,71,74,Sunderland
9000,2400000,S. Ribas,29,Uruguay,71,71,Club Atlético Patronato
22000,2200000,A. Sapeta,28,Russia,71,72,Dinamo Moscow
