,Episode,Line,Character,Dialogue,Action
534,2,117,ice king,  What is this?,
536,2,119,ice king,  Because I left the room?,
538,2,121,ice king,  I don't get this.,
543,2,126,ice king,  Me? You want to dance with me?,
545,2,128,ice king," Wow! ,  Yes! Yes! Whoopee!","Drops the board game, Opens cell door and walks in"
547,2,130,ice king,"  Wait, no! ,  Don't leave! I'll kill you all! ,  Why are you doing this? Everyone was finally warming up to me.","Shoots ice lighting at Emerald Princess, but she avoids it, Finn punches him and Ice King tries to push him away"
553,2,136,ice king,"  Bah! Finn, you just ruined my chances with 5 or 6 potential wives! For that you will... ,  Ohh! Oh, my beard. ","Finn punches him in the beard, Finn roundhouse kicks him into a wall where his crown falls off and he loses consciousness"
555,2,138,ice king,"  Why do people not like me? Is it because I'm a magic user or is my beard too shaggy? ,  I try so hard to be a good husband for girls. What's wrong with me?",Sighs
558,2,141,ice king,"  Who are you? ,  I know. You're probably a--a big nerd! Why don't you try being cool like me? ,  Star dust is so ticklish! ,  What happened? Princesses? Ohhh...","Laughs, Flies away laughing when he regains consciousness and is being tickled by penguins, Laughs until he opens his eyes"
1189,6,3,ice king,  Huh?,
1191,6,5,ice king,  Foolish interlopers! Zah! ,Fires ice magic at Finn
1193,6,7,ice king,"  Ee hee hee hee—OOH! ,  MY EYESIGHT!",Gets hit by snowball
1197,6,11,ice king,"  I will kiss her! I will! ,  Hold still. ,  Mwah!","To ""princess"", Kisses Jake's posterior"
1199,6,13,ice king,"  What?! ,  EEEEGH!! ,  The hour is yours, but the day shall be mine! Just like you, Princess—MINE!","Jake reforms his posterior., The other three laugh., Flying away"
1319,6,133,ice king,"  No, Finn! ,  You were not wrong. He is evil! ","Emerges from dark alleyway, Collapses"
1323,6,137,ice king,"  But my enervated condition has everything to do with him. ,  I was trying to cast a spell that would give me total control of Princess Bubblegum's heart! ...But I messed it all up... and lost control of mine. ,  He planned to rip out Princess Bubblegum's heart... to make it his bride. ,  Without my heart, I grew weak. ,  But I made my way to the Candy Kingdom to look for him. In an alleyway, I begged him to ,  return to me and leave the princess alone. ,  But he threw me in the dumpster and left me for dead. ,  Stop Ricardio!","Flashback begins; Ice King does voice-over, Ricardio come's out of Ice King's chest in flashback. He runs towards the window laughing., Ricardio sticks his tongue out and exits laughing., Ice King groans in flashback., In flashback, Ice King mouths these words as current Ice King says them, Flashback ends., Reaching his hand out at Finn"
1341,6,155,ice king,"["" Stop! Stop it! That's my heart, you piece of—""]",Crawling in
1344,6,158,ice king,"  Oh, yeah...",
1346,6,160,ice king,  Come to daddy...,
1348,6,162,ice king,"  Yeah, there you go... ,  Like that? Huh?",Puts him in his chest
1350,6,164,ice king,"["" I feel wonderful! Hahaha! And now that I've saved the Princess, she'll marry me and live in my dungeon every day!""]",Reinvigorated
1353,6,167,ice king,"  Yes you WILL! ,  Well... maybe not today... or tomorrow... but another day! Another—","He charges up his ice magic, but Finn kicks him. He begins flying away., Accidentally knocks head on door frame. He grunts in pain as he exits."
2603,14,43,ice king,"  Is that you, honey? ,  How was your day at work? ,  Terrible! How could I possibly stand to be apart from you, the Ice King?! ,  You see, Gunter, that's how it would go if I actually had a wife.","Finn runs away before he can see him., Mock-female voice, Normal voice"
2605,14,45,ice king,"  Game time! ,  Kill the frog! Kill the frog! C'mon! Oh, he's right in front of you! Lower! L—,  Stupid lady. Kill it...","Activates Battle Babe., Scoffs"
2611,14,51,ice king,"  No, no! That frog is casting magic missiles on my babe! ",Frustrated noise
2614,14,54,ice king,"  No, c'mon, get out of the—UGH! Move!",
2616,14,56,ice king,"  Baaaugh! ,  This game cheats anyway! ,  LOOK WHAT YOU DID, GUNTER!!","Penguin waddles forward, Drops console, accidentally smashing it"
2620,14,60,ice king,"  What are you on about? You're starting to infuriate me... It's almost like you're trying to alert me—warn me about... I don't know, an intruder or something? Perhaps he's lurking in this very room, just outside my field of vision!",
2622,14,62,ice king,"  Well, knock it off!!",
2625,14,65,ice king," Hmm. You're looking kinda fat, Gunter! Look at these arms! Fat fat fat! Daddy's little fattie! Oh, you'll never get a prom date with all that chub on your face, you know! ,  Ooh! Oh, blast these melty ceilings!","Looking at reflection, An ice spike lands on Ice King"
2630,14,70,ice king,  What was that?,
2636,14,76,ice king,  Huh? An intruder! Maybe a beautiful princess like in my poems.,
2646,14,86,ice king,"  Whoa, ice-o-pede! Finn?! Oh, why can't you ever be a princess?! Ice-o-pede, attack! ,  Ice-o-pede, no! Aaah!",Ice-o-pede bites Ice King.
2649,14,89,ice king,"  Hahaha! Finish him off, my semi-loyal pet! ,  An innocent bystander?! ZAP!",The ice-o-pede fires at Finn and makes him drop Neptr.
2654,14,94,ice king,  Crush him! Crush him like you crushed me!!,
2659,14,99,ice king,  Come on!,
2666,14,106,ice king,[' Something about that robot I tried to kill fills me with... deep longing.'],To himself as the duo escapes
2675,14,115,ice king,[' THREE!'],Opening door
2679,14,119,ice king,  I've come to take my son.,
2681,14,121,ice king,"  Come to Papi, son. I won't attack you... unless provoked.",
2683,14,123,ice king,  It was my power that activated his full potential. Zzz. ,Makes a small lightening bolt
2685,14,125,ice king,"  When you were struck by my lightening, you also became infused with my private particles. He wants to be with me, Finn!",
2688,14,128,ice king,"  Don't worry, son. I'll show you the life you deserve! ",Spins very quickly
2691,14,131,ice king,"  Yes! Now that we've entered my imagination zone, allow me to tantalize you with this! ,  Princesses! As my son, you will carry on the tradition of capturing ladies!",Snaps; princesses appear.
2694,14,134,ice king,  I want a son who can do better than I. One who can succeed where I... have failed. You can mate with robot princesses!,
2696,14,136,ice king,  NO!! I'll show you what will happen if you hang out with Finn!,
2701,14,141,ice king,"  NOOOOO!! ,  I'm through playing around, son. Who do you choose?",The three exit the Imagination Zone.
2705,14,145,ice king,"  He made his choice! Get over it, crybaby!",
2707,14,147,ice king," WHHHAAAAT— ,  Aah! My face! ,  I birthed you and I can un-birth you!","Angry, Neptr launches a pie at Ice King., Neptr and Finn laugh."
2709,14,149,ice king,  OOF! ,Gets knocked out by Finn
2717,14,157,ice king,"  No, let's just stay here a little longer, son.",
2910,16,12,ice king,  Eee!,
2913,16,15,ice king,"  Think this is the right address, ,  mmm is this, is this....",takes note out of his beard
2919,16,21,ice king,"  You can not defeat me, child!",
2922,16,24,ice king,"['\xa0Now I can\xa0kill you! Oh wait, wait, wait. I am so stupid! Silly Billy! I came by to tell you the good news!']",his hand in a threatening position above Finn
2924,16,26,ice king,  I'm getting married... to someone who wants to marry me! ,
2926,16,28,ice king,"  My betrothed is right over there! ,  Hi, honey!","waves to show them the Old Lady Princess, who is in a cart with some penguins"
2928,16,30,ice king,  I'm a lucky guy—I didn't even have to kidnap this one! She fell in love with me the moment I slipped on her engagement ring! ,wiggles his fingers in front of Finn and Jake
2931,16,33,ice king,"  The lady penguins are throwing her one of those ""bachelorette"" parties.",
2934,16,36,ice king,"  Oh well, no more capturing pretty princesses for this Ice King! ",laughs
2936,16,38,ice king,  Hmm?,
2939,16,41,ice king,"[' Sure wish someone would throw me a bachelorette party—oop, I mean, ""man-lorette"" party.']",laughs nervously
2941,16,43,ice king,"  If you won't throw me man-lorette party, then I'll never have my last hurrah before buckling down with that battle axe! It'll drive me back to a life of stealing hot princesses! Is that what you want?!",
2945,16,47,ice king,  ,giggles
2949,16,51,ice king,[' Best man-lorette party ever! '],"now in the Grass Lands, laughs and conjures a snowball"
2951,16,53,ice king,  ,laughs
2953,16,55,ice king,"  Fah! ,  Hahahaha! Now I'm gonna go get married! Hehehehe! ♫I'm gonna get married!♪","throws snowball at the ground, killing it"
2957,16,59,ice king,  Yeah--wait. No more s-stealing princesses? Wow.,
2959,16,61,ice king,  I didn't realize I'd have to give up stealing the ladies.,
2961,16,63,ice king,"  I know what I said, but, y'know, sometimes you say things and then you don't really mean them.",
2963,16,65,ice king,"  I'm just not sure I wanna get married in such a hurry. What if she's just after my ,  Demonic Wishing Eye and Ghost pouch? ","pulls back his beard, laughs maniacally"
2965,16,67,ice king,"  Maybe I'll just go back to capturing lots of girls. It's what I feel comfortable doing, y'know? Being free, wind at my back, lots of girls, kidnapping 'em.",
2970,16,72,ice king,  Really? Why?,
2974,16,76,ice king,  My mind is made up—80% sure. No marriage.,
2977,16,79,ice king,"  Bleh, those stinky old swans. Huh?",
2980,16,82,ice king,"  Ohhhh, now I get what you guys are trying to tell me! Marriage is a thing that allows me to capture a princess forever and let her live inside of me! ,  Marriage is the most beautiful thing in the world!",crying
2983,16,85,ice king,  The wedding? Back on—100%! ,laughs and skips away
2991,16,93,ice king,"  Finn, Jake, you made it! ,  Come on up here. I'm almost finished tying up my bride.","Ice King is shown tying up Old Lady Princess, who is wearing a veil"
2993,16,95,ice king,"  This is a traditional wedding ritual for good luck in the Ice Kingdom. You see, she'll be hoisted up and then lowered down—and when she touches my beard from above, she will be my queen! ",giggles
2995,16,97,ice king,"  Thank you! Excuse me as we finish preparing for the nuptials. 2, 4, 8, 16, 20, uh—",
2997,16,99,ice king,"  Yes—32, 64, one hundred and—eh.",
3016,16,118,ice king,  No! She's my love boat! ,zaps at them with ice magic but misses
3018,16,120,ice king,"  Okay, that's your opinion! ",gets ready to zap again
3020,16,122,ice king,"  Yeah, yes, that's right.",
3022,16,124,ice king,"  Oh, I don't know... I'm complicated—and spontaneous! ,  That's probably why she wants to marry me!",laughs
3024,16,126,ice king,  Silence! ,shoots ice at them
3026,16,128,ice king,  It's time for the lowering ceremony! Hoist her up!,
3028,16,130,ice king,  Hehehehe! Commence the lowering!,
3030,16,132,ice king,"  Yes, nothing can stop me now.",
3032,16,134,ice king,"  Strangling the groom's nose at a wedding? ,  What's wrong with you?! You're the one that there's something wrong with!",kicks Finn back up the pyramid
3038,16,140,ice king," I think you dropped something. ,  Catch! ","walking up to him, tosses a penguin at him, freezes the penguin in midair"
3051,16,153,ice king,"  Now, let's try that again. ,  Lower her!",to penguins
3053,16,155,ice king,"  Here she comes. Yes, touch my beard, deary. Yes, that's right. Almost there...",
3057,16,159,ice king,"  Oh! I'm married, right, snowman?",
3060,16,162,ice king,"  What? What's that supposed to— ,  Oh no.",sees that the finger that touched his beard is actually Jake's
3066,17,0,ice king,"[' Come on, guys. Help me celebrate my un-marriage.']",pounding on the door
4096,23,4,ice king," Who is it? ,  Zap zap zap zap zap zap zap! ,  Ooh, someone left me a gift. Peanut brittle? But I'm on a diet. ","Singing, Starts shooting ice lightning, Sees a can on the ground, Shakes can, snickers and opens the can; Jake pops out and takes his crown"
4098,23,6,ice king," Oahh! Finn, you have destroyed my faith in canned peanut brittle! Zap! ,  Oh, no, my crown has all my powers in it!","Throws can on the ground, Nothing happens"
4141,23,49,ice king,"  Oh, this is a total rook!",
4143,23,51,ice king," I didn't steal it! I made that item! …Made it with the magic that I stole! So hand it over, or I'll strike menacing poses at you! ",Starts striking poses and Finn sprays him with a hose
4146,23,54,ice king,  These bars can't hold me forever! Hey there's only like two of 'em. You fools have no business guarding prisoners.,
4149,23,57,ice king,  Hmm?,
4155,23,63,ice king,  How about you just hand me my crown. I'll create some ice bars.,
4158,23,66,ice king,"  I'm toying with you, ha ha, psychologically. ",laughs
4161,23,69,ice king,  So what am I being charged with?,
4165,23,73,ice king,"  Gah! Of course it matters! The way things work is first, I transgress your meaningless rules and then you maliciously persecute me!",
4167,23,75,ice king,"[' Fool! You have disrupted that order, for—are you ready for this?—I have committed no recent crime!']",Pokes Finn's face
4169,23,77,ice king,"["" I'm rockin' your worldview!""]",Laughs
4173,23,81,ice king,"  Oh, yeah? You know who really deserves to be in jail? I will show you the true jerks! ,  Behold! ","Pulls out a mirrored covered with a blanket behind his jail cell bunk bed, Lifts the blank off the mirror but in doing so extinguish the candle in the cell"
4175,23,83,ice king,"  Behold! ,  Wha, Behold! ,  Behold the true jerks!","Brings the mirror into the light but it shatters at the bottom when he slams it on the floor, Holds it in the air but it falls apart, Ice King groans and gasps and walks up to the cell bars with a mirror piece in his hand and puts it in Finn and Jake's faces"
4181,23,89,ice king,"[' Is it time for my hour in the yard, boss?']",Gets out of bed
4183,23,91,ice king,"  This is a trick, huh?",
4185,23,93,ice king,"[' There must be someone waiting outside to beat me. Ooh, is that my crown over there? ']","Walking out of the cell, Goes offscreen"
4192,23,100,ice king,  Hey!,
4194,23,102,ice king,  Get out of my room!,
4196,23,104,ice king,"  So, you're really breaking me out?",
4198,23,106,ice king," You mean, you believe me? Oh, can it be? Has all the hatred between us transmuted into something more? A friendship? A best friendship. ,  Knucks? ,  Oh, ho ho, slaps in disgust, eh? Let's call them ""Slappy D's""! Okay, see you later, my bosoms!","Tearing up, Sticks out fist for a fist tap, Finn slaps his fist away"
4200,23,108,ice king,"  Cast ""Detect Secret Door""! ,  Success! ,  Wa ha ha ha!","He shoots a magic blast and a tunnel opens under the stairway, Runs away into the tunnel"
4208,23,116,ice king,  Finally! Freedom and friends FOREVER!!!,
4225,23,133,ice king,"  Hey, hey, Princess, check out my new trick! ,  It's snowing it's snowing for you!",Starts rubbing flakes out of his beard
4233,23,141,ice king,  So let me get this straight… You're hitting on me.,
4236,23,144,ice king,"  I think I heard the word ""Virile"" in there. Oh, she is definitely hitting on me.",
4239,23,147,ice king,"  Be gone, you biddies!",
4241,23,149,ice king,"  Oh, my gosh, she came to me this time.",
4256,23,164,ice king,"  I'm coming forth! Hee hee, is that the voice of friendship I hear? ,  So, are you fellas ready for game night?",Walks in the room with a board game
4258,23,166,ice king,  What? Why?,
4260,23,168,ice king,  I… yes?,
4262,23,170,ice king,  Yeah… right! Everyone knows that! ,Laughs awkwardly
4264,23,172,ice king,"  Oooh, of course, friend. Awoo-hehehehe! Oh, I've got the sillies! I couldn't possibly without giggling uncontrollably. I'm just so giddy about you being here! ,  I'm a banana! ,  Don't slip on me!","Laughs, falls on his back and grabs the bottom of his cloak and rocks back and forth, Laughs"
4268,23,176,ice king,"["" Wait a sec, there's a bug on you, friend. Smack! ""]","Gets up, Smacks Jake and in doing so hits Finn"
4270,23,178,ice king,"[' You know, I carved these game pieces from my own teeth.']","Shuffling through the board game, picks up a game piece"
4272,23,180,ice king,  Huh? Crying?!,
4274,23,182,ice king,  I was only saving you from poo poo palms!,
4276,23,184,ice king,"  No! No, my…my bosom! What hath I done?! My friend! ,  My only friend.",Picks up Finn
4278,23,186,ice king,  Why?! Why?! WHY?!!!,
4284,23,192,ice king,"  WHY?!!!… Ah, well. Gunter! Dispose of Finn's carcass.",
4763,26,102,ice king,  Gunter! Who told you you could fly?!,
4766,26,105,ice king,"  Huh? No one sucks the life from my penguins except me! ...And maybe polar bears, because that's just nature, Gunter. ,  You darest encroach upon my domain?! ,  You've raised my frosty dander! And for that, I shall— ,  AAAAAOOOOOHHH!! I've soiled my tunic... completely by choice! ","Flies over to Lord of Evil, Lord of Evil's face changes., Lord of Evil shows Ice King his terrifying face., Flies away"
4826,27,12,ice king,  I just wanna be happy!,
4950,27,136,ice king,  I should go.,
4952,27,138,ice king,  That's none of your business!,
4959,27,145,ice king,"  Gentlemen, I'll see you later.",
4968,27,154,ice king,  NO!,
4976,27,162,ice king,  Is that all the ice ya have?,
4978,27,164,ice king,"  Well, you should really have more.",
4980,27,166,ice king,  What if you had guests?,
4985,27,171,ice king,"  Ok, ok, I'll tell you! I was watching you... to learn how to be happy.",
4989,27,175,ice king,"  It's true! I would like to be happy like you guys. But, I have no idea how.",
4991,27,177,ice king,"  Have pity on me. ,  I've been so sad and miserable, I cry all the time. But, whenever I see you two, you always look so happy.",flashback begins
4994,27,180,ice king,"  But, I guess my plan failed. All I observed was you two arguing over...how to get rid of me.",
4996,27,182,ice king,"  Hey, are you sleeping? ,  Is this it? Sleeping? Could it be that all I need is a good night's rest? ","gasp, closes his eyes."
4998,28,0,ice king,  Ahh... I'm... still not happy.,
5010,28,12,ice king," Huh eh! What was that?! ,  Darling, are you alright? I thought I heard a— ,  Oh, I see what happened. She broke up with me! ,  Well, it's your mistake, missy! This Ice King is gonna be fine!","Continues to sleep but soon wakes up., Turns on lamp, Loud gasp. He flies over to the empty prison and touches its door., Goes to the window to yell."
5012,28,14,ice king," Why did she leave? I put so much cool stuff in her little prison! Come on, old boy, keep it together ,  Hey, maybe she called me! ,  Please, please, please! Doo-doo... doo, doo-doo, doo-doo. No new messages?! ,  Raaaaa!","Heavy sighing; moans, Pouts, Picks up a pair of slacks and pulls out a banana from its pocket., Angrily throws banana, which hits a picture of him and Engagement Ring Princess that has ""Together Forever"" printed on the frame."
5014,28,16,ice king," This is where she use to do her business. Uh, I'm so tired of looking at this face. ,  Aa, hee hee, not bad! And now for some healthy exercise! Ha ha, I'm forgetting about that silly old breakup already! ","Heavily sighs., He picks up a razor and hums away as he shaves off his beard., Walks through his beard remains and out of the castle."
5016,28,18,ice king," Alright, let's fly! ,  Oof! You fool, you can't fly without your beard. ,  I'm gonna be alone forever.","Finishes., Jumps and spreads his arms and quickly falls., He mopes and sits in the middle of a sandbox."
5018,28,20,ice king,  Beautiful princess.,
5020,28,22,ice king,"["" That's funny, usually my looks put people off.""]",Chuckles.
5022,28,24,ice king,[' Is someone paying you to do this?'],Looks around the area.
5024,28,26,ice king,"  Well, there's not much to tell, really. I'm an ice king.",
5026,28,28,ice king,"  Ha haha, no no, dear you misheard me. I'm not a nice king, I'm a— ,  A really nice king! And I'm single!",Sees Slime Princess' eyes widen.
5045,28,47,ice king,"  Ladies, I'll have time to meet you individually later, please just, just stop squirming.",
5047,28,49,ice king,  Prison? Don't be ridiculous! It's a... waiting room! Stop squirming.,
5049,28,51,ice king,  Finn and Jake! You'll never take me alive! ,His hands glow and blaze with magic.
5052,28,54,ice king,"[' Oh yeah, I keep forgetting that.']",Relaxes
5054,28,56,ice king,  Serve me?,
5056,28,58,ice king,[' Sounds... nice...'],Laughs evilly
5058,28,60,ice king,"  With my rod of niceness, I dub thee two my Nice Knights. ",He taps both with a moss covered stick.
5064,28,66,ice king,"["" Please! I'm trying to tell my Nice Knights something! ""]","Angrily flares up., This causes everyone to gasp loudly."
5065,28,67,ice king," Come here. ,  The main enemy to the Nice King right now is the disorganization of his love life.","Chuckles nervously, He huddles with Finn & Jake."
5067,28,69,ice king,  The ugly ones are all mixed up with the other ones! I need you to catalog them... or something.,
5069,28,71,ice king,"  After I choose my bride, then you can go punch the monsters.",
5086,28,88,ice king,"["" Hey, Nice Knights, Turtle Princess is about to walk out that door, I told her that I like her a lot, but I really don't like her all that much, could you guys break it off for me?""]",Calling from a top the sand castle window.
5094,28,96,ice king,"  Yes, yes, keep walking in a circle. ",Muffled laugh.
5096,28,98,ice king,"  Princesses, I must speak with my knight in private. Go on back into your cage.",
5098,28,100,ice king,"  What's up, knight?",
5100,28,102,ice king,[' Your loyalty is in question?'],Seething anger
5102,28,104,ice king,"["" Are you implying that I'm not the nice king!""]",Pinching at Finn's body
5104,28,106,ice king,  ,Laughs
5106,28,108,ice king,"  Ugh, Finn, get rid of her.",
5108,28,110,ice king,"  She's too loud and lumpy, I like smooth princesses... smoo-o-o-oth. ",mimes curvy body shape with his hands.
5113,28,115,ice king,"  Gaah! Finn, just punch her! Let me see what she looks like... smoo-o-o-oth.",
5119,28,121,ice king,"  Wait a minute Nice Knight, let's see what she can do. ","As Lumpy Space Princess continues to punch herself, Finn covers his eyes."
5121,28,123,ice king,"  Meh, no, I-I don't like her.",
5124,28,126,ice king,  Hey! You're on thin ice Nice Knight! ,A beard whisker sprouts from his cheek.
5126,28,128,ice king,[' The jig is up!'],Gasp
5128,28,130,ice king,"  Ah, eh, heh heh, my jig is up. Up high! It's a highland jig. ,  And I have a new assignment for you, one with more knight related stuff, very important.",Dances around trying to hid his face.
5130,28,132,ice king,"  The Ice King stole my razor, sneak into his trap-filled ice castle and retrieve it. ,  And don't look through the shoebox he keeps behind the laundry bag in the closet.",Speaking rapidly
5132,28,134,ice king,  Those are my orders!,
5135,28,137,ice king,"[' And once I have my razor, I can select my elite army of wives and take over the world!']",With palms glowing he manifest floating snow creatures.
5146,28,148,ice king,"  Ugh, what do the princesses see in this face? Hope I can keep this going. So many princesses to meet. ,  Whiskers! ,  I can't be growing whiskers now! ,  Daaarrr, I haven't picked who I want to marry me!","Suddenly a whisker sprouts from his cheek., He pulls., More continue to sprout faster than he can pull them out."
5148,28,150,ice king,  Did you retrieve my stole razor?!,
5150,28,152,ice king,  My beard! I-I-I mean what is that?!,
5160,28,162,ice king,"["" Wait, I can't fly!""]",Retreats to the top of the castle's room and runs towards window.
5164,28,166,ice king,"  N-no, wait!",
5166,28,168,ice king,"  Ugh! ,  Oh, eh? ,  Ladies, ladies, heh heh, I can shave it off again, a-and when you get fat, I'll grow it back! Eh! ","Hits the ground., He turns to see a group of confused princesses., He turns to run as the princesses start to chase him. They beat him up together."
6375,36,14,ice king," Gunter, let's go! I've got the overnight bag.",
6427,36,66,ice king," Oh, great—a line. ,  Excuse me. Excuse me. Pardon me.","Entering the hospital, starts to freeze the people in front of him"
6429,36,68,ice king," You know I was. ,  Counter maid, I demand medical attentions, ,  preferably those of a princessy type.","Freezes Rock Man, laughs, Approaches to management, softens his voice"
6431,36,70,ice king, Hey! I'm as healthy as ten old men!,
6433,36,72,ice king," Ah! Oh, oh, right! ,  My penguin—he's very, very sick. So... what time does your shift end?",Puts Gunter on the counter
6450,36,89,ice king," What's taking that doctor so long? Gunter, make more noise!",
6452,36,91,ice king," Yeah, alright. Don't oversell it, drama queen.",
6455,36,94,ice king," Yes, well, uh... ,  Come to Ice King, Princess.",quietly
6457,36,96,ice king," Just give it to me straight, doc. Am I gonna have to pay for this?",
6461,36,100,ice king," What can you do for him, Doctor Princess? ,  Without Gunter, I'll be all alone. You see, I'm a widower.",He takes off his crown.
6463,36,102,ice king," Oh, what? Is that what that means? ",Puts his crown back on
6466,36,105,ice king," Gunter, you're embarrassing me!",
6487,36,126,ice king," Okay, m'dear, this enclosure will be your new home!",hums
6492,36,131,ice king," ...but once you get used to the smell of penguin manure, it's almost tolerable.",
6495,36,134,ice king, Princess? What?,
6498,36,137,ice king, What princess?,
6501,36,140,ice king," Wrong-o. I was at the hospital, for it turns out Gunter here was preggers!",
6504,36,143,ice king, I was just talking to the egg! It's such a cutie!,
6506,36,145,ice king," What? No! ,  Fuh. Anyway, get out of my house or I'll kill you, et cetera. I want to take a nap in my easy chair. ,  What happened to my recliner?!","Checks under Gunter, then throws him aside, suddenly gasps"
6508,36,147,ice king, My skins and tubs!,
6510,36,149,ice king, You even violated my secret sanctum?! What is wrong with you?!,
6512,36,151,ice king, No! No princess!,
6515,36,154,ice king," Yeah, what the heck?! You think you can just wreck my house and wear my collectibles?! ,  Hah! Who do you guys think you are?!",He removes their headbands and throws them on the floor
6517,36,156,ice king, You're not ninjas! You're just a couple of jerks!,
6520,36,159,ice king," Yeah, do it; make it right. And start by, uh... oh, take my bag over to the cage.",
6522,36,161,ice king," Oh, no, no, no! Not that! Never mind! Put that down and go clean my gym equipment.",
6525,36,164,ice king," Oh, heh... I have no idea how that got in there!",Nervously
6529,36,168,ice king," Yes, Gunter's ailment was the perfect cover for stealing a princess, M.D.",
6531,36,170,ice king," Enough! You may have uncovered my princess-smuggling scheme, but you'll never leave this place alive!",
6535,36,174,ice king," Doot, doo, doooo! ,  Ninja!",summons an ice sansetsukon
6543,36,182,ice king, Gunter! Why didn't you tell me?,realizes
6545,37,0,ice king," Oh, Gunter...",
8602,49,40,ice king,"  Hey hey hey! ,  So... I've been thinking about this a lot lately and, well, uh... phew, gosh, I'm so nervous... Finn, and Jake, will you give me your blessings so I can marry Princess Bubblegum?","Appearing in window, The three scowl."
8604,49,42,ice king," What's wrong with me?! ,  No! ,  Not the latch!","In disbelief, Jake closes the window., Jake latches it."
8615,49,53,ice king,"  Oh, my! How clumsy of me!",
8618,49,56,ice king,"  Hey, wait, you guys! I'm serious about Bubblegum! Look, I wrote her name all over my arms and legs! ",He shows them evidence to this.
8621,49,59,ice king,"  Guys! It's not fair! She always hangs out with you, and it's not like you wanna marry her!",
8623,49,61,ice king,"  Whoa! ,  I told you already. I want your blessings so I can marry Princess Bubblegum! ,  Come on, guys, give me permission to marry her! I'll... I'll do a little dance for you! ,  Hmm? You like this?","Dodges it, They keep running. Ice King uses his ice magic to block their path with ice., Dances"
8625,49,63,ice king,"["" Oh, come on! If you bless our wedding, then maybe she'll really love me.""]",In desperation
8627,49,65,ice king,  I will! When you bless our wedding!,
8638,49,76,ice king,"["" I tried to do this right, but you've driven me to this—driven me to bad doing.""]",To himself
8642,49,80,ice king,  Eh... stupid thing... come on... eh...,
8645,49,83,ice king,"  I didn't want to do this, but by not blessing our wedding, Finn and Jake have forced me to kidnap you.",
8648,49,86,ice king,  I know! But I'll show them... I'll show them how they've hurt us!,
8661,49,99,ice king,  Ah!,
8664,49,102,ice king,"  Oh, no. ,  Oh, gross. This water stinks.",Water falls on him and Princess Bubblegum.
8667,49,105,ice king,  Look! Look what you've made me do to her!,
8671,49,109,ice king,"  Hey, where're you guys goin'? What's goin' on?",
8680,49,118,ice king," Man... I-I wanna go after them, but... that hole looks scary, doesn't it? ,  Well! Holes are holes! ","To Princess Bubblegum, Beat, Enters with her"
8690,49,128,ice king,[' Yep! Holes are holes! NYEH!! '],"Entering with Princess Bubblegum, He notices the Lich, who fires a green fire ball at the heroes."
8712,49,150,ice king,"  We did? Hey, yeah, we did it!! Oh, you guys! This experience has brought us all so much closer together! Princess, I'm sorry for all of this. I love you, and I've decided to set you free. ,  Go free!!",Makes the cuffs disappear
8714,50,0,ice king,"  Uh... Whoops, I've got the dropsies!",
8720,50,6,ice king,"  No! Not my number one! Princess, if you die on me, I will never forgive you! I'll be lost—lost in my own emotional labyri—",
8727,50,13,ice king,"["" Oh, my wife! Is there anything weird about her? I can't see through these pain tears!""]",Crying
8729,50,15,ice king,"  It's just that... after Princess fell into the well, I saw something strange happen. Something I still don't understand. ,  Ooh—AGH! Wait! Listen to me!!",Finn's Root Sword is hurled at Ice King.
8731,50,17,ice king,"  ""Old man?"" Heh! What? I'm not old.",
8734,50,20,ice king,"  Old? I'm... I see. It's all making sense now. Brrrrapapo! ,  I'm going, Princess. I'm sorry if my skin grossed you out. Nobody wants to see this old skin, I guess. ,  Nobody in the world.","Blasts window with ice magic, shattering it, Tearing up"
8736,50,22,ice king,  Peace.,
8808,50,94,ice king,"[' Hey, Finn, are you dead or what?']",poking Finn's face.
8810,50,96,ice king,  Hey. I had to keep an eye on the princess because she's being possessed by the Lich.,
8812,50,98,ice king,"  But I do. I saw it with my wizard eyes! ,  In the well, I saw something come out of the Lich and go into the princess. But I wasn't sure it was real ,  because when you have stanky old wizard eyes, sometimes you see things that are real, and other times it's like crazy crazy crazy in your face all the time! ,  All the time... ,  Guys, let me help you. I don't want my future wife to be... physically unattractive.","Scene changes to the well., scene returns to normal., Strange creatures dance around Finn and Jake in the Ice King's vision. He sighs, To himself, To the duo"
8824,50,110,ice king,[' Are you suuuuure?'],Gasps
8826,50,112,ice king,  Great! Weeee! ,Laughs and grabs Finn before exiting
8829,50,115,ice king,[' Wah!'],Throwing Finn
8832,50,118,ice king,  Yeah! Whoopie!,
8834,50,120,ice king,"  Oh, yeah?",
8837,50,123,ice king,"  Okay. I didn't kill 'er this time. Everybody saw that, right?",
8853,50,139,ice king,"  Aw, dang it! Well, I'm outta here. Goodbye, everyone. ",Exits
9178,52,134,ice king,  Huh? Who could that be? ,Opens the door and looks down
9180,52,136,ice king,  What?! No one commands the Ice King to make no sandwich!,
9182,53,0,ice king,[' Okay.'],Gasps then laughs
9491,55,2,ice king,"  Good morning, Breakfast Princesses. ",He sneakily climbs in through the window. He comes up beside their bed with a jar of honey and a honey dipper. He drips honey on Breakfast Princess's waffles.
9495,55,6,ice king,  That's why I'm using honey.,
9498,55,9,ice king,  What? You can't do that!,
9500,55,11,ice king,  You're grounded for two weeks!,
