artista,nombre,ironhacker,letra
KAYTRANADA,Vex Oh (feat. Eight9FLY),1194170124,"[Verse 1: Eight9FLY]
Me no lie, me no lie
Got lost in her eyes
Found something I like, yeah
Weren't even my type
Me no lie, me no lie
We had drinks all night
Put my phone on silent
And I don't know why
No, I couldn't leave her
Shoulda said, ""Bye, Felicia""
Must have been the tequila
I wish you had amnesia
Come, come, what I did can't be undone
Kiss and chase, baby, run, run
Don't give my love to no one (No one)

[Pre-Chorus: Ari PenSmith]
Bad belle wey she get (Wey she get)
You gon' try, try so you not forget (Forget)
No, no forgiveness, oh-ah, ah
To the left, to the left (To the left)
Wanna take a real lie reset (Ah)
She said, ""No domino effect"", oh-ah, ah

[Chorus: Ari PenSmith]
And I say no vex, oh (No vex, oh)
No vex, oh-ah
No, baby, don't vex, oh (No vex, oh)
No, baby, don't vex, oh-ah
And I say no vex, oh
No vex, oh-ah
No, baby, don't vex, oh (No vex, oh)
Don't vex, oh-ah
[Verse 2: GoldLink]
I just wanna get behind you on the dance floor
Then I take her back to that, back to the dance club
Handsome, always call me handsome, then I hand grab
Throw tantrum if you leave me, that's it
Lord, no lie, when I ride on a beat
I just try to supply when the beat good
Think you don't even care about your man though
Rap good, but I think I'm an asshole
Fuck me good then I fuck so long
That the moon and the sun switch position, a sinkhole
And I roll it over, I call it a pick roll
I'm on top, I don't mind if we switch roles
Next morning when we leave, you can switch clothes
Pissed off, you ain't get my number when I hit though
Real nice with the words but I'm mean with that nice stroke
And I kinda bite though, alright, ho?

[Pre-Chorus: Ari PenSmith]
Bad belle wey she get (Get, get)
You gon' try, try so you not forget (Don't forget, oh, ah)
No, no forgiveness, oh-ah, ah
To the left, to the left (To the left)
Wanna take a real lie reset (Oh)
She said, ""No domino effect"", oh-ah, ah
[Chorus: Ari PenSmith]
And I say no vex, oh (No vex, oh)
No vex, oh-ah
No, baby, don't vex, oh (No vex, oh)
No, baby, don't vex, oh-ah
And I say no vex, oh (No vex, oh)
No vex, oh-ah
No, baby, don't vex, oh (No vex, oh)
Don't vex, oh-ah"
Buena Vista Social Club,Candela,1194170124,"[Chorus]
Ay candela, candela, candela, me quemo aé
Ay candela, candela, candela, me quemo aé

[Verse 1]
Puso un baile un jutía, para una gran diversión
De timbalero un ratón, que alegraba el
Campo un día
Un gato también venía, elegante y placentero
'Buenas noches, compañero'
Siempre dijo así el timbal
'Para alguien aquí poder tocar
Para descansar un poco'
Salió el ratón medio loco
'también voy a descansar'
Y el gato en su buen bailar, bailaba un
Danzón liviano
El ratón se subió al guano, y dice
Bien placentero:

[Pre-Chorus]
¡Y ahora si quieren bailar, búsquense
Otro timbalero!

[Chorus]
[Verse 2]
Oye, Faustino Orama' y sus compañeros
Necesito que me apaguen el fuego

Margarita llama pronto a los bomberos para
Que vengan a apagar el fuego

Oye, si estás perdida llama a los siete ceros
Y asi vendrán más pronto los bomberos

Ay candela, candela, candela, me quemo aé
Mama ¡Aaaay!

[Chorus]

[Verse 3]
(Me quemo aé)
Tilán tilán
Didilán didilán
Margarita que me quemo
Yo quiero seguir gozando
La candelame está llevando
Me gusta seguir guarachando
Esta tarde venimo' acabando
Como quiera venimo' tocando
La mujer cuando se agacha
Se le abre el entendimiento
La mujer cuando se agacha
Se le abre el entendimiento
Y el hombre cuando la mira
Se le para el pensamiento
De tí me gusta una cosa
Sin que me cueste trabajo
De tí me gusta una cosa
Sin que me cueste trabajo
De la barriga pa'rriba, de la cintura pa'bajo
Mira se quema, se quema, mama
Mira se quema, se quema, oye
Mira mama que me quemo
Mira llama pronto a los bomberos, para que
Vengan a apagar el fuego
Mira que el fuego me está quemando
Y yo quiero seguir guarachando
Mira se quema Báyamo, mira que Songo
Está que arde
Mira se quema La Maya, mira ese pito
Que suena
Malaguën está que corta mama
Santiago de Cuba está que te mete en llamas
Se quema, se quema, se quema, oye, mira
Me quemo, me quemo
Mira que me quemo, oye, yo quiero
Seguir guarachando
Mira mama que yo vengo quemando
Faustino Orama' tú está acabando
Mira se quema, se quema
Pero mira mi mami se quema
Oye se quema, se quema"
Alizzz,Todo me sabe a poco,soyungalgo,"[Letra de ""Todo me sabe a poco""]

[Intro]
Eh

[Coro]
Vamos a buscar
Tiene que haber algo más (Tiene que haber)
Vamos a buscar (Ah)
Tiene que haber algo más (Tiene que haber)

[Verso 1]
Me dejaste de escribir
Desde entonces no he para'o ni pa' dormir (Venga, eh)
Siempre tarde desmadra'o, no tengo fin
Aún quedan límites por descubrir (Pa' no sufrir)
Me acuerdo de ti

[Pre-Coro]
Todo me sabe a poco (Yeah)
Vuеlvo a la guerra, sé que me dеja roto (Tiene que haber, tiene que haber)
Todo me sabe a poco (Yeah, eh)
Primero al cielo, luego pa'l hoyo (Tiene que haber, tiene que haber)

[Coro]
Vamos a buscar
Tiene que haber algo más (Tiene que haber)
Vamos a buscar (Ah)
Tiene que haber algo más (Algo tiene que haber, joder)
[Verso 2]
Un salto al vacío, me vuelvo a caer (Ah)
Bebé, no te preocupes, to' va a salir bien (Lo juro)
Me he dado de hostia', me he hincha'o a correr (Ah)
Me voy pa'l precipicio otra vez

[Pre-Coro]
Todo me sabe a poco (Yeah)
Vuelvo a la guerra, sé que me deja roto (Tiene que haber, tiene que haber)
Todo me sabe a poco (Todo, todo)
Primero al cielo, luego pa'l hoyo (Me estoy quedando loco)

[Coro]
Vamos a buscar (Tiene que haber)
Tiene que haber algo más (Tiene que haber)
Vamos a buscar (Ah)
Tiene que haber algo más (Eh; algo tiene que haber, joder)
Vamos a buscar
Tiene que haber algo más (Tiene que haber)
Vamos a buscar
Tiene que haber algo más (Tiene que haber)"
El Columpio Asesino,Preparada,soyungalgo,"Estoy más que cansada de estar siempre esperando
Estoy más que cansada de estar siempre buscando
Pero ya he terminado
Y estoy preparada, voy a acabar contigo

Mi piel se ha tragado todas mis cicatrices
Me he arrojado en marcha dentro de una autopista
Estoy hecha pedazos, mi copa ha reventado
Mi sangre grita ""luz"", agoniza mi noche

Subiré al cielo dejándote caer
Voy a estar despierta
Voy a estar atenta
Voy a acabar contigo

Y lanzaré cerillas al sofá
Regándolo bien antes con alcohol
Una nube negra enmarcará
Una nueva mentira y un funeral

Voy desplumando lechuzas sonriendo ante el fuego
Voy limpiando mi rastro ya empezamos de nuevo
Un millón de botellas han llegando a la puerta
Con un mismo mensaje
Miedo a vivir
Mi sangre grita ""luz"", agoniza tu noche
Subiré al cielo dejándome caer
Voy a estar despierta
Voy a estar atenta
Voy a acabar contigo

Y lanzaré cerillas al sofá
Estoy más que cansada de estar siempre esperando
Estoy más que cansada de estar siempre buscando
Pero ya he terminado
Yo estoy preparada, voy a acabar contigo

Y lanzaré cerillas al sofá
Regándolo bien antes con alcohol
Una nube negra enmarcará
Una nueva mentira y un funeral

Y diezmaré mis males al llegar
Y no miraré más hacia atrás
Nunca es suficiente para ti
Para empezar de nuevo hay que morir

Y lanzaré cerillas al sofá"
Buena Vista Social Club,Chan Chan - Live,1194170124,"[Refrain]
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on

[Verse 1]
It was familiar to me
The smoke too thick to breathe
The tile floors glistened
I slowly stirred my drink
And when you started to sing
You spoke with broken speech
That I could not understand
And then you grabbed me tightly

[Chorus]
I won't let go, I won't let go
Even if you say so, oh, no
I've tried and tried with no results
I won't let go, I won't let go

[Verse 2]
He then played every song from 1993
The crowd applauded as he curtsied bashfully
Your eyelashes tickled my neck
With evеry nervous blink
And it was perfect
Until thе telephone started
[Refrain]
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on
Ringing, ringing, ringing, ringing, ringing on"
Standstill,¿Por Qué Me Llamas A Estas Horas?,capitan_z,"Romper un silencio así no tiene perdón
Gracias, esto... ¿cómo empezar?
Me despierto en un gran estadio
Un saludo, gracias, esto... ¿Cómo escapar?
Cuánta vanidad, digo, vida
Yo propongo un tropezón

Mira, mamá, sin suerte
Romper un silencio así no tiene perdón

Era 19 de Noviembre y tú soltaste que
""lo importante son los goles y no los colores""
Romper un silencio así no tiene perdón
Diga lo que diga
Romper un silencio así no tiene perdón
Con la cara tropezada
Ya no hay nada que vender
Aunque nada tengo que esconder
Bueno, casi, pero eso no viene al caso
Yo sólo quería un aplauso
Gracias, bueno, gracias
Mira, mamá, sin suerte
Se parten de risa y encima les pido perdón...

Mientras el universo ronca
¿no te importa oír mi voz?
Voz
¿voz?
¿diga lo que diga?

Romper un silencio así no tiene perdón
Diga lo que diga"
The Flaming Lips,The Yeah Yeah Yeah Song,capitan_z,"[Intro]
Yeah yeah yeah yeah yeah yeah yeah yeah
Yeah yeah yeah yeah yeah yeah yeah

[Verse 1]
If you could blow up the world with the flick of a switch
Would you do it?
(Yeah yeah yeah yeah yeah yeah yeah yeah)
If you could make everybody poor just so you could be rich
Would you do it?
(Yeah yeah yeah yeah yeah yeah yeah yeah)
If you could watch everybody work while you just lay on your back
Would you do it?
(Yeah yeah yeah yeah yeah yeah yeah yeah)
If you could take all the love without giving any back
Would you do it?
(Yeah yeah yeah yeah yeah yeah yeah yeah)
And so we cannot know ourselves or what we'd really do

[Chorus]
With all your power
With all your power
With all your power
What would you do?
With all your power
With all your power
With all your power
What would you do?

[Verse 2]
No no no no no no no no
If you could make your own money and then give it to everybody
Would you do it?
(No no no no no no no no)
If you knew all the answers and could give it to the masses
Would you do it?
(No no no no no no no no)
Are you crazy?
It's a very dangerous thing to do exactly what you want
Because you cannot know yourself or what you'd really do

[Chorus]
With all your power
With all your power
With all your power
What would you do?
With all your power
With all your power
With all your power
What would you do?

[Bridge]

[Chorus]
With all your power
With all your power
With all your power
What would you do?
With all your power
With all your power
With all your power
What would you do?
With all your power
With all your power
With all your power
What would you do?"
The Vapors,Turning Japanese,q3e2mxzn5mdtipnmohkaa5gy3,"[Verse]
I've got your picture
Of me and you
You wrote ""I love you""
I wrote ""Me too""
I sit there staring, and there's nothing else to do
Oh, it's in colour
Your hair is brown
Your eyes are hazel
And soft as clouds
I often kiss you when there's no one else around

[Pre-Chorus]
I've got your picture, I've got your picture
I'd like a million of you, all 'round my cell
I want a doctor to take your picture
So I can look at you from inside as well
You've got me turning up and turning down
And turning in and turning 'round

[Chorus]
I'm turning Japanese, I think I'm turning Japanese
I really think so
Turning Japanese, I think I'm turning Japanese
I really think so
I'm turning Japanese, I think I'm turning Japanese
I really think so
Turning Japanese, I think I'm turning Japanese
I really think so
[Pre-Chorus]
I've got your picture, I've got your picture
I'd like a million of you, all 'round my cell
I want a doctor to take your picture
So I can look at you from inside as well
You've got me turning up and turning down
And turning in and turning 'round

[Chorus]
I'm turning Japanese, I think I'm turning Japanese
I really think so
Turning Japanese, I think I'm turning Japanese
I really think so
I'm turning Japanese, I think I'm turning Japanese
I really think so
Turning Japanese, I think I'm turning Japanese
I really think so

[Bridge]
No sex, no drugs, no wine, no women
No fun, no sin, no you, no wonder it's dark
Everyone around me is a total stranger
Everyone avoids me like a psyched Lone Ranger, everyone

[Chorus]
That's why I'm turning Japanese, I think I'm turning Japanese
I really think so
Turning Japanese, I think I'm turning Japanese
I really think so
I'm turning Japanese, I think I'm turning Japanese
I really think so
Turning Japanese, I think I'm turning Japanese
I really think so
[Guitar Solo]

[Chorus]
Turning Japanese, I think I'm turning Japanese
I really think so
Turning Japanese, I think I'm turning Japanese
I really think so (Think so, think so, think so)
I'm turning Japanese, I think I'm turning Japanese
I really think so
Turning Japanese, I think I'm turning Japanese
I really think so (Think so, think so, think so)"
The White Stripes,Hotel Yorba,q3e2mxzn5mdtipnmohkaa5gy3,"[Verse 1]
I was watching
With one eye on the other side
I had fifteen people telling me to move
I got moving on my mind
I found shelter
In some thoughts turning wheels around
I said 39 times that I love you
To the beauty I had found

[Chorus]
Well, it's 1, 2, 3, 4
Take the elevator
At the Hotel Yorba
I'll be glad to see you later
All they got inside is vacancy

[Verse 2]
I been thinking
Of a little place down by the lake
They got a dirty old road leading up to the house
I wonder how long it will take 'til we're alone
Sitting on the front porch of that home
Stomping our feet on the wooden boards
Never gotta worry about locking the door
[Chorus]
Well, it's 1, 2, 3, 4
Take the elevator
At the Hotel Yorba
I'll be glad to see you later
All they got inside is vacancy

[Verse 3]
It might sound silly
For me to think childish thoughts like these
But I'm so tired of acting tough
And I'm gonna do what I please
Let's get married
In a big cathedral by a priest
'Cause if I'm the man that you love the most
You could say 'I do' at least

[Chorus]
Well, it's 1, 2, 3, 4
Take the elevator
At the Hotel Yorba
I'll be glad to see you later
All they got inside is vacancy

And it's 4, 5, 6, 7
Grab your umbrella
Grab hold of me
'Cause I'm your favorite fella
All they got inside is vacancy"
Ramones,Sheena Is a Punk Rocker - 2017 Remaster,q3e2mxzn5mdtipnmohkaa5gy3,"[Chorus: Joey Ramone & Dee Dee Ramone]
I don't care (He don't care)
I don't care (He don't care)

[Verse 1: Joey Ramone &Dee Dee Ramone]
I don't care about this world
I don't care about that girl
I don't care (He don't care)

[Chorus: Joey Ramone & Dee Dee Ramone]
I don't care (He don't care)
I don't care (He don't care)

[Verse 2: Joey Ramone & Dee Dee Ramone]
I don't care about these words
I don't care about that girl
I don't care (He don't care)

[Bridge: Joey Ramone]
I don't care
I don't care
I don't care
I don't care
I don't care
I don't care
[Chorus: Joey Ramone & Dee Dee Ramone]
I don't care (He don't care)
I don't care (He don't care)

[Verse 1: Joey Ramone]
I don't care about this world
I don't care about that girl
I don't care"
Andrés Calamaro,Victoria y Soledad,q3e2mxzn5mdtipnmohkaa5gy3,"Entre las dos no sumaban ni siquiera mi edad
Las hermanas mellizas Victoria y Soledad
Son el santo grial del Rock and Roll animal
No son una fantasía, ni son una realidad

Una sola vez vi juntas a Victoria y Soledad
Y nos dimos un gran beso en honor a la verdad
Parecían la canción de Randy Newman sin la coca
Las dos eran demasiado pero una no era poca

Y frente al mar voy a recordar lo que no fue
Pero espero encontrarlas otra vez alguna vez
Casi las tuve en un abrazo a las dos
Pero no hubo lugar para el amor de a tres

No tengo corazon pero te digo la verdad
Las mellizas eran lo mejor de la ciudad
Hubiera sido lo más triple que se puede pedir

No basta con vivir
Quiero mi parte de Victoria y Soledad

Estoy buscando algo que no voy a encontrar
A Victoria y Soledad cuando se van

Un año de Victoria y Soledad (x2)
Un año...
Victoria y Soledad y no Sofía y Realidad
Las amé por separado pero juntos somos más
Otra lección que la vida me dio otra vez

Eramos tres, Victoria Soledad y yo (x9)

Soledad!"
Tame Impala,Mind Mischief,javiercabrera9627,"[Chorus]
Feels like my life is ready to blow
Me and my lover, taking it slow
I hope she knows that I'll love her long
I just don't know where the hell I belong (No, no)

[Verse 1]
How optimism led me astray
Two hundred things I took the wrong way
But I saw her love gauge runnin' low
I tried to fill but it overflowed

[Chorus]
Feels like my life is ready to blow
Me and my lover taking it slow
I hope she knows that I'll love her long
I just don't know where the hell I belong

[Verse 2]
She remembers my name
Could be blowin' way out
It's all going to change
She remembers my name

[Bridge]
But she’s only messing around
Please, no more playing with my heart
Ooh, go Mr. Right just for once
(Then it all just came out)
Ooh, no more mischief with my mind
(Guess I'll hold in, next time...)

[Verse 3]
No more gettin' it wrong
I'll be frozen, here on
If forever, we'll see
No more guessin' for me

[Outro]
Oh, I was just so sure of everything
Oh, that's what you get for dreamin' aloud
(Then it all just came out)
(Guess I'll hold in, now on)
(If forever, we'll see)
Oh, the day that words are clearer for me
(But no more guessing for me)"
Masego,Tadow,1194170124,"[Intro]
Yeeah, ooh, yeh
Ayy, ayy, ayy, oh, ahh
Ayy, ayy, ahh, ahh
Tadow
Ayy, ayy, ay, oh, ahh
Ayy, ayy, ahh, ahh
Tadow

[Verse 1]
Ooh, I saw her and she hit me like (Tadow)
Saw that thing so beautiful (Tadow)
She just hit my heart, ooh (Tadow)
Full force and she got me like (Tadow)

[Chorus]
I be like (Tadow)
Baby (Tadow)
Why you so fine? (Tadow, tadow)
Gotta make you mine (Tadow, tadow)
So hard to find (Tadow, tadow)

[Verse 2]
Baby like oh
How'd you do the thing?
The way that you do it and she ain't even show
Nothing
She be walking round so confident, so heaven-sent
I think she was meant to knock 'em dead like (Tadow, tadow)

[Chorus]
Like (Tadow, tadow)
Girl you so fine (Tadow)
Ohh (Tadow, tadow)
Girl, you acting like oh

[Verse 3]
She was so sublime
Super fine
She was never lying
Strutting in her heels
Or her slides either way
Eyes on her every single day, week, year
Everyone wondering how she does it with no fear
All that confidence wasn't heaven-sent
Does it come within?
Does it come run out?
I don't know
She'll just have 'em runnin'
Out and in man they want to sin
Talking deadly sin
With Mrs. Lady, I don't understand
Why she hit 'em like (Tadow, tadow)

[Chorus]
Yeah, like (Tadow, tadow)
Girl, you knock 'em dead (Tadow, tadow)
Ohh (Tadow)
How you do it like you do it (Tadow, tadow)
Yeah yeah (Tadow, tadow)
Baby, you knock 'em dead (Tadow, tadow)
I love you so baby (Tadow, tadow)
Yeah, yeah, ohh

[Outro]
Tadow
Tadow"
Queen,Don't Stop Me Now - Remastered 2011,1183037273,"[Intro]
Tonight I'm gonna have myself a real good time
I feel alive
And the world, I'll turn it inside out, yeah
I'm floating around in ecstasy
So (Don't stop me now)
(Don't stop me)
'Cause I'm having a good time
Having a good time

[Verse 1]
I'm a shooting star leaping through the sky like a tiger
Defying the laws of gravity
I'm a racing car passing by like Lady Godiva
I'm gonna go, go, go, there's no stopping me

[Pre-Chorus]
I'm burning through the sky, yeah
Two hundred degrees, that's why they call me Mister Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic man outta you

[Chorus]
(Don't stop me now)
I'm having such a good time
I'm having a ball
(Don't stop me now)
If you wanna have a good time
Just give me a call
(Don't stop me now)
'Cause I'm having a good time
(Don't stop me now)
Yes, I'm having a good time
I don't wanna stop at all, yeah
[Verse 2]
I'm a rocket ship on my way to Mars on a collision course
I am a satellite, I'm out of control
I'm a sex machine ready to reload like an atom bomb
About to oh, oh, oh, oh, oh, explode

[Pre-Chorus]
I'm burning through the sky, yeah
Two hundred degrees, that's why they call me Mister Fahrenheit
I'm travelling at the speed of light
I wanna make a supersonic woman of you

[Bridge]
(Don't stop me, don't stop me, don't stop me)
Hey, hey, hey
(Don't stop me, don't stop me, ooh, ooh, ooh)
I like it
(Don't stop me, don't stop me)
Have a good time, good time
(Don't stop me, don't stop me) Woah
Let loose, honey, all right

[Guitar Solo]

[Pre-Chorus]
Oh, I'm burning through the sky, yeah
Two hundred degrees, that's why they call me Mister Fahrenheit (Hey)
Travelling at the speed of light
I wanna make a supersonic man outta you (Hey, hey)
[Chorus]
(Don't stop me now)
I'm having such a good time
I'm having a ball
(Don't stop me now)
If you wanna have a good time
Just give me a call (Ooh, alright)
(Don't stop me now)
'Cause I'm having a good time (Hey, hey)
(Don't stop me now)
Yes, I'm having a good time
I don't wanna stop at all

[Outro]
Ah, da, da, da, da
Da, da, ah, ah
Ah, da, da, ah, ah, ah
Ah, da, da
Ah, da, da, ah, ah
Ooh, ooh-ooh, ooh-ooh"
Jarabe De Palo,La flaca,javiercabrera9627,"[Letra de ""La Flaca""]

[Verso 1]
En la vida conocí mujer igual a la Flaca
Coral negro de la Habana, tremendísima mulata
Cien libras de piel y hueso, cuarenta kilos de salsa
Y en la cara dos soles, que sin palabras hablan
Que sin palabras hablan

La Flaca duerme de día, dice que así el hambre engaña
Y cuando cae la noche baja a bailar a la tasca
Y bailar y bailar, y tomar y tomar
Una cerveza tras otra pero ella nunca engorda
Pero ella nunca engorda

[Coro]
Por un beso de la Flaca daría lo que fuera
Por un beso de ella, aunque sólo uno fuera
Por un beso de la Flaca daría lo que fuera
Por un beso de ella, aunque sólo uno fuera
Aunque sólo uno fuera

[Verso 2]
Mojé mis sábanas blancas, como dice la canción
Recordando las caricias que me brindó el primer día
Y enloquezco de ganas de dormir a su ladito
Porque ¡Dios! que esta flaca a mí me tiene loquito
O-oh, a mí me tiene loquito
[Coro]
Por un beso de la Flaca  daría lo que fuera
Por un beso de ella, aunque sólo uno fuera
Por un beso de la Flaca daría lo que fuera
Por un beso de ella, aunque sólo uno fuera

[Outro]
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera
Aunque sólo uno fuera"
Daft Punk,Something About Us,javiercabrera9627,"[Verse 1]
It might not be the right time
I might not be the right one
But there's something about us I want to say
'Cause there's something between us anyway

[Verse 2]
I might not be the right one
It might not be the right time
But there's something about us I've got to do
Some kind of secret I will share with you

[Refrain]
I need you more than anything in my life
I want you more than anything in my life
I'll miss you more than anyone in my life
I love you more than anyone in my life"
Andrés Calamaro,Loco,javiercabrera9627,"[Intro]
Hated the most, so I keep my haters close
Let 'em know I want the smoke
So much bread I gotta boast
This burner turn you into toast
I'm so G, I don’t keep that pistol on me
Ay, I'll beat yo ass you try to press that issue on me
Ay, I keep a stash under all these zippers on me
I got bitches blowin' like I got a whistle on me

[Chorus]
Ay, can’t stop getting paper
Ay, can’t stop rollin papers
Ay, LSD and coca
Ay, live la vida loca
Ay, she gone feed me grapes
Ay, we don’t go on dates
Ay, got a man at home, but she love the way I taste

[Verse 1]
Tatted on my choker
Shoppin' sprees at Dover
I ain’t stopping shit till I’m 70 years older
Slap me if I’m sober
Yea, yea, yea, come over
Fucked two girls that looked like Tina Fey and Amy Poehler

[Refrain]
Back shot, back shot, back shot, back shot, right behind the backdrop
Can’t stop, can’t stop, can’t stop, can’t stop turnin' up like mascots
Matlock, Matlock, Matlock, Matlock want me in them padlocks
I hope you got a plan, catch me if you can hoe

[Verse 2]
Yea hoe, can’t get jammed hoe, I’ll be damned hoe
Yea hoe, I’m the man hoe, from the Land hoe
Yea hoe, out them bandos, to these bands hoe
Sandals for my fam though - 3, 2, 1, takeoff
Jets round the world with them
And you know we gotta fly with the herb with them
In the town, I’m a chief like turbo and them
Shouts for the flow G Herbo and them
I just got the cell phone workin' again
I just got the styrofoam purple again
Never make threats non-verbal again
You already know how I'm lurkin' again
Gunna

[Refrain]
Back shot, back shot, back shot, back shot, right behind the backdrop
Can’t stop, can’t stop, can’t stop, can’t stop turnin' up like mascots
Matlock, Matlock, Matlock, Matlock want me in them padlocks
I hope you got a plan, catch me if you can hoe

[Chorus]
Ay, can’t stop getting paper
Ay, can’t stop rollin papers
Ay, LSD and coca
Ay, live la vida loca
Ay, she gone feed me grapes
Ay, we don’t go on dates
Ay, got a man at home, but she love the way I taste
Ay, can’t stop getting paper
Ay, can’t stop rollin papers
Ay, LSD and coca
Ay, live la vida loca
Ay, she gone feed me grapes
Ay, we don’t go on dates
Ay, got a man at home, but she love the way I taste"
Fuel Fandango,Toda la vida,ferqwertyuiop,"Toda la vida coleccionado mil amores
Haciendo juegos malabares
Para no amarte en exclusiva
Toda la vida poniendo trampas al orgullo
Tantas historias como estrellas
Para no ser esclavo tuyo
Para obtener mi propia musica
Toda la vida descubriendo puertas a escondidas
Para escapar de tus heridas
Para buscar la aventuras que me liberen de tus besos
Solo por eso, solo por eso
Toda la vida para olvidate
Para perderte y recuprate
Y no dormirme en tus sentidos
Como un idiota enamorado desmadejado
Aburrido que se conforma
Toda la vida marcando numeros secretos
Mandando cartas a escondidas
Haciendo citasindiscretas
Como un romantico suicida, un suicidas
Toda la vida sabiendo siempre que me esperas
Siempre segura de ti misma
Siempre mujer siempre perfecta
Y yo buscando mi otra musica, mi propia musica
En me musica aaah
Toda la vida pensando siempre en tu egoismo
Y por no ser esclavo tuyo
Soy el esclavo de mi mismo
Toda la vida tirando amor por por todos lados
Dejando beso enganchados
En cada nueva despedida
Y tu al final la mas querida
Toda la vida.....
Toda la vida.....
Toda La Vida
Toda La Vida"
alt-J,Breezeblocks,capitan_z,"[Verse 1]
She may contain the urge to run away
But hold her down with soggy clothes and breezeblocks
Cetirizine, your fever’s gripped me again
Never kisses, all you ever send are fullstops (La la la la)
Do you know where the wild things go?
They go along to take your honey (La la la la)
Break down, now weep, build up breakfast
Now let’s eat, my love, my love, love, love (La la la la)

[Chorus]
Muscle to muscle and toe to toe
The fear has gripped me, but here I go
My heart sinks as I jump up
Your hand grips hand as my eyes shut

[Verse 2]
Do you know where the wild things go?
They go along to take your honey (La la la la)
Break down, now sleep, build up breakfast
Now let’s eat, my love, my love, love, love (La la la la)
She bruises, coughs, she splutters pistol shots
Hold her down with soggy clothes and breezeblocks
She’s morphine, queen of my vaccine
My love, my love, love, love (La la la la)

[Chorus]
Muscle to muscle and toe to toe
The fear has gripped me, but here I go
My heart sinks as I jump up
Your hand grips hand as my eyes shut

[Verse 3]
She may contain the urge to run away
But hold her down with soggy clothes and breezeblocks
Germolene, disinfect the scene, my love, my love, love, love
Please don't go, I love you so, my lovely

[Refrain]
Please don't go, please don't go
I love you so, I love you so
Please don't go, please don't go
I love you so, I love you so
Please break my heart (Hey!)
Please don't go, please don't go
I love you so, I love you so
Please don't go, please don't go
I love you so, I love you so
Please break my heart

[Outro]
Please don’t go, I’ll eat you whole
I love you so, I love you so, I love you so
Please don’t go, I’ll eat you whole
I love you so, I love you so
Please don’t go, I’ll eat you whole
I love you so, I love you so, I love you so
Please don’t go, I’ll eat you whole
I love you so, I love you so
Please don’t go, I’ll eat you whole
I love you so, I love you so, I love you so
Please don’t go, I’ll eat you whole
I love you so, I love you so
Please don’t go, I’ll eat you whole
I love you so, I love you so, I love you so
Please don’t go, I’ll eat you whole
I love you so, I love you so"
